1-044R	氷	セフィロス	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-044R.png			opus1/ice.html	"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-045R	氷	セラ	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-045R.png				"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-046H	氷	ティナ	1	DISSIDIA FINAL FANTASY	DISSIDIA FINAL FANTASY	dissidia	opus1/1-046H.png				"&copy;2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-047R	氷	ティナ	1	DISSIDIA FINAL FANTASY -Arcade-	DISSIDIA FINAL FANTASY -Arcade-	dffac	opus1/1-047R.png			opus1/ice.html	"&copy; 2015,2016 KOEI TECMO GAMES/SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-048C	氷	導師	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-048C.png			opus1/ice.html	"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-049C	氷	時魔道士	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-049C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-050C	氷	ナイト	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-050C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-051R	氷	ヌージ	1	FINAL FANTASY X-2	FINAL FANTASY X-2	ff10-2	opus1/1-051R.png				"&copy;2003,2005 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-052R	氷	ハーデス	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-052R.png			opus1/ice.html	"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-053C	氷	魔界幻士	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-053C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-054C	氷	魔剣士	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-054C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-055C	氷	魔剣士	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-055C.png			opus1/ice.html	"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-056H	氷	ヨーゼフ	1	FINAL FANTASY II	FINAL FANTASY II	ff2	opus1/1-056H.png			opus1/ice.html	"&copy;1988,2012 SQUARE ENIX CO., LTD. All Rights Reserved.
IMAGE ILLUSTRATION:&copy;1988 YOSHITAKA AMANO"
1-057R	氷	ラーグ公	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-057R.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-058L	氷	ラグナ	1	FINAL FANTASY VIII	FINAL FANTASY VIII	ff8	opus1/1-058L.png			opus1/ice.html	"&copy;1999 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
